product_name,price,sold_count,note_url,author_name,captured_at,source_type
1/9,48.9,97000,https://xhslink.com/m/AfM1haWzNSe,1/9,2026-06-17T19:23:10+08:00,note
¥,48.9,97000,https://xhslink.com/m/AfM1haWzNSe,1/9,2026-06-17T19:23:10+08:00,note
1/5,15.9,70000,https://www.xiaohongshu.com/goods-detail/6858bbbcd67cc2000120c0ad?xsec_token=XB33-7zID8OdpggWC0k5tGTOmhvcRT9ObpKdD9-M8_hOE%3D&xsec_source=app_share&instation_link=xhsdiscover%3A%2F%2Fgoods_detail%2F6858bbbcd67cc2000120c0ad%3Ftrade_ext%3DeyJjaGFubmVsSW5mbyI6bnVsbCwiZHNUb2tlbkluZm8iOm51bGwsInNoYXJlTGluayI6Imh0dHBzOi8vd3d3LnhpYW9ob25nc2h1LmNvbS9nb29kcy1kZXRhaWwvNjg1OGJiYmNkNjdjYzIwMDAxMjBjMGFkP2FwcHVpZD01ZjcxN2FhYjAwMDAwMDAwMDEwMDJmMjMiLCJsaXZlSW5mbyI6bnVsbCwic2hvcEluZm8iOm51bGwsImdvb2RzTm90ZUluZm8iOm51bGwsImNoYXRJbmZvIjpudWxsLCJzZWFyY2hJbmZvIjpudWxsLCJwcmVmZXIiOm51bGx9%26rate_limit_meta%3DitemId%253D6858bbbcd67cc2000120c0a9%26source%3D%26back_chain_id%3Dgoods_detail_share%26rn%3Dtrue&xhsshare=&appuid=5f717aab0000000001002f23&apptime=1781694970&share_id=9b4f18a9ecae4ca69aaa43019e2ea8e5&share_channel=copy_link,1/5,2026-06-17T19:23:15+08:00,note
¥,15.9,70000,https://www.xiaohongshu.com/goods-detail/6858bbbcd67cc2000120c0ad?xsec_token=XB33-7zID8OdpggWC0k5tGTOmhvcRT9ObpKdD9-M8_hOE%3D&xsec_source=app_share&instation_link=xhsdiscover%3A%2F%2Fgoods_detail%2F6858bbbcd67cc2000120c0ad%3Ftrade_ext%3DeyJjaGFubmVsSW5mbyI6bnVsbCwiZHNUb2tlbkluZm8iOm51bGwsInNoYXJlTGluayI6Imh0dHBzOi8vd3d3LnhpYW9ob25nc2h1LmNvbS9nb29kcy1kZXRhaWwvNjg1OGJiYmNkNjdjYzIwMDAxMjBjMGFkP2FwcHVpZD01ZjcxN2FhYjAwMDAwMDAwMDEwMDJmMjMiLCJsaXZlSW5mbyI6bnVsbCwic2hvcEluZm8iOm51bGwsImdvb2RzTm90ZUluZm8iOm51bGwsImNoYXRJbmZvIjpudWxsLCJzZWFyY2hJbmZvIjpudWxsLCJwcmVmZXIiOm51bGx9%26rate_limit_meta%3DitemId%253D6858bbbcd67cc2000120c0a9%26source%3D%26back_chain_id%3Dgoods_detail_share%26rn%3Dtrue&xhsshare=&appuid=5f717aab0000000001002f23&apptime=1781694970&share_id=9b4f18a9ecae4ca69aaa43019e2ea8e5&share_channel=copy_link,1/5,2026-06-17T19:23:15+08:00,note
1/5,15.9,70000,https://xhslink.com/m/1rxkMQGtmeG,1/5,2026-06-17T19:23:07+08:00,note
¥,15.9,70000,https://xhslink.com/m/1rxkMQGtmeG,1/5,2026-06-17T19:23:07+08:00,note
1/9,8.9,2214,https://xhslink.com/m/7QESS3Lpyr9,1/9,2026-06-17T19:23:20+08:00,note
¥,8.9,2214,https://xhslink.com/m/7QESS3Lpyr9,1/9,2026-06-17T19:23:20+08:00,note
1/5,5.99,1064,https://xhslink.com/m/2fZNWv0QU7h,1/5,2026-06-17T19:23:17+08:00,note
¥,5.99,1064,https://xhslink.com/m/2fZNWv0QU7h,1/5,2026-06-17T19:23:17+08:00,note
1/1,160.0,946,https://xhslink.com/m/1HAKCUe0R35,1/1,2026-06-17T19:23:14+08:00,note
¥,160.0,946,https://xhslink.com/m/1HAKCUe0R35,1/1,2026-06-17T19:23:14+08:00,note
1/6,4.9,382,https://xhslink.com/m/4OnW3NTN7PH,1/6,2026-06-17T19:23:18+08:00,note
¥,4.9,382,https://xhslink.com/m/4OnW3NTN7PH,1/6,2026-06-17T19:23:18+08:00,note
